OBJECTID,ID,NAME,STATE,STATUS,COUNTRY,LATITUDE,LONGITUDE,WELLIDNO,API,PERMITNO,OPERATOR,PRODTYPE,FIELD,COMPDATE,ID_LINK,GlobalID
649,SW48000649,STATE LEASE 108878,TX,ACTIVE WELL,USA,29.76725636,-95.09570419,32853,4220132853D2,811465,"BALLARD EXPLORATION COMPANY,INC.",UNKNOWN,"CANADIAN HUNTER (YEGUA 10,630)",,W480483223,{EC476465-067F-4358-BE17-AB6915582237}
650,SW48000650,CITY OF HOUSTON,TX,ACTIVE WELL,USA,29.7899381,-95.23994718,32961,4220132961D2,816870,"BALLARD EXPLORATION COMPANY,INC.",UNKNOWN,CLINTON (MIOCENE 2900),,W480483241,{A38505EE-95BD-4EEE-9980-2397B5E0E289}
651,SW48000651,DESTEC,TX,ACTIVE WELL,USA,29.76483978,-95.13879717,32349,4220132349D2,531320,"ETOCO, L.P.",UNKNOWN,JACINTOPORT (YEGUA),,W480483251,{EAC642E4-7A4D-40CB-9739-A32F5CB320CA}
652,SW48000652,"HOUSTON, SAM",TX,ACTIVE WELL,USA,29.75860995,-95.12802252,32609,4220132609D2,636660,"ETOCO, L.P.",UNKNOWN,NOT AVAILABLE,,W480483257,{E99609DA-F952-4728-8B1E-DB33DA23511D}
653,SW48000653,TAYLOR HEIRS,TX,ACTIVE WELL,USA,29.645022,-95.40589464,32199,4220132199D2,754060,"MORGAN ENTERPRISES, INC.",UNKNOWN,PIERCE JUNCTION,,W480482815,{6E2E171F-E62E-4996-B191-B6FCD36A3DF8}
654,SW48000654,"SMITH, ASHBEL #2",TX,ACTIVE WELL,USA,29.72143765,-94.96593485,07803,4220107803D1,-999,"FOOTHILLS TEXAS, INC.",UNKNOWN,GOOSE CREEK,,W480482975,{87B4D83F-200C-40CE-83DE-E658735BA11A}
655,SW48000655,TAYLOR HEIRS,TX,ACTIVE WELL,USA,29.64482941,-95.40622835,32199,4220132199D3,754060,"MORGAN ENTERPRISES, INC.",UNKNOWN,PIERCE JUNCTION,,W480482815,{C882A4EA-C785-4C2F-849B-A7E7FD8E2FCD}
656,SW48000656,"SMITH, ASHBEL #2",TX,ACTIVE WELL,USA,29.71982026,-94.96495651,07806,4220107806D1,-999,"FOOTHILLS TEXAS, INC.",UNKNOWN,GOOSE CREEK,,W480482788,{008F5BB0-9F1C-44BD-B2AE-6B3C00AF6C2E}
657,SW48000657,TAYLOR HEIRS,TX,ACTIVE WELL,USA,29.65423038,-95.40047504,32854,4220132854D2,775273,"MORGAN ENTERPRISES, INC.",UNKNOWN,PIERCE JUNCTION,,W480482878,{23FE4CD3-9C17-4215-A589-8412DDB71CDA}
658,SW48000658,TRAINING WELL,TX,ACTIVE WELL,USA,29.87742936,-95.58434531,32632,4220132632D2,517733,"WEATHERFORD U.S., L.P.",UNKNOWN,WILDCAT,,W480482786,{A8B31931-0E1D-4B0E-9C08-D2E1EBD5A2C6}
659,SW48000659,TRAINING WELL,TX,ACTIVE WELL,USA,29.87671998,-95.58438012,32632,4220132632D3,517733,"WEATHERFORD U.S., L.P.",UNKNOWN,WILDCAT,,W480482786,{A9AEFDB0-AFEF-4177-965B-48F660D88EEE}
660,SW48000660,WEBSTER FIELD UNIT,TX,ACTIVE WELL,USA,29.58212838,-95.17133754,30531,4220130531DW,-999,"DENBURY ONSHORE, LLC",UNKNOWN,WEBSTER,,W480483017,{F56DF83B-066D-421B-A45A-D512EAC30601}
661,SW48000661,STATE LEASE 108878,TX,ACTIVE WELL,USA,29.76742916,-95.09549448,32853,4220132853D3,811465,"BALLARD EXPLORATION COMPANY,INC.",UNKNOWN,"CANADIAN HUNTER (YEGUA 10,630)",,W480483223,{32F6EBFB-4A31-41E6-8F79-DFB677FE48C9}
662,SW48000662,WEBSTER FIELD UNIT,TX,ACTIVE WELL,USA,29.575364,-95.19365,32072,4220132072D1,831198,"DENBURY ONSHORE, LLC",UNKNOWN,WEBSTER,,W480483272,{24A672A7-6229-43F1-8263-ED8459642F2C}
663,SW48000663,NOT AVAILABLE,TX,ACTIVE WELL,USA,30.283703,-94.37381548,32984,4219932984D2,-999,NOT AVAILABLE,UNKNOWN,NOT AVAILABLE,,W480475569,{A495F64B-1CB1-4262-807C-9DC288C47C24}
